from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,1.0,Clay,cohesive,13.5,13.5,1.0,2.5,,,,,,
1.0,6.5,Clay,cohesive,14.2,14.2,2.5,11.0,,,,,,
6.5,10.0,Clay,cohesive,18.4,19.5,40.0,50.0,,,,,,
10.0,11.9,Clay,cohesive,19.5,20.0,95.0,130.0,,,,,,
11.9,18.1,Clay,cohesive,18.0,18.0,110.0,110.0,,,,,,
18.1,20.1,Clay,cohesive,19.0,19.0,155.0,155.0,,,,,,
20.1,23.9,Clay,cohesive,20.2,18.4,170.0,170.0,,,,,,
23.9,25.9,Clay,cohesive,19.3,19.3,230.0,230.0,,,,,,
25.9,27.9,Clay,cohesive,18.2,18.2,145.0,135.0,,,,,,
27.9,33.0,Clay,cohesive,18.2,17.7,150.0,130.0,,,,,,
33.0,36.0,Clay,cohesive,20.2,19.0,135.0,120.0,,,,,,
36.0,39.0,Sand,frictional,19.5,19.5,,,,,20,,67,0.7
39.0,42.9,Clay,cohesive,18.9,18.9,105.0,105.0,,,,,,
42.9,43.9,Silt,cohesive,15.4,15.4,105.0,105.0,,,,,,
43.9,44.9,Clay,cohesive,20.2,20.2,105.0,105.0,,,,,,
44.9,47.0,Sand,frictional,19.1,19.1,,,,,25,,81,5.0
47.0,47.9,Sand/Clay,frictional,18.5,18.5,,,,,20,,67,0.5
47.9,52.0,Clay,cohesive,18.9,17.9,60.0,100.0,,,,,,
52.0,60.0,Clay,cohesive,17.7,17.7,100.0,115.0,,,,,,
60.0,63.6,Clay,cohesive,17.7,17.7,115.0,110.0,,,,,,
63.6,71.0,Clay,cohesive,18.1,18.1,110.0,120.0,,,,,,
71.0,73.2,Clay,cohesive,18.8,18.8,120.0,115.0,,,,,,
73.2,75.0,Clay,cohesive,19.3,19.3,80.0,80.0,,,,,,
75.0,79.5,Clay,cohesive,18.6,18.6,95.0,120.0,,,,,,
79.5,80.5,Sand,frictional,16.8,16.8,,,,,20,,67,3.0
80.5,82.0,Silt,cohesive,16.8,16.8,120.0,120.0,,,,,,
82.0,85.6,Clay,cohesive,19.8,19.8,160.0,220.0,,,,,,
85.6,90.2,Clay,cohesive,18.1,18.1,160.0,130.0,,,,,,
90.2,92.5,Clay,cohesive,20.3,20.3,120.0,140.0,,,,,,
92.5,101.0,Clay,cohesive,18.7,18.7,145.0,145.0,,,,,,
101.0,111.0,Clay,cohesive,18.7,18.7,145.0,160.0,,,,,,
111.0,122.0,Clay,cohesive,18.5,18.5,180.0,180.0,,,,,,
122.0,124.8,Clay (assumed),cohesive,18.5,18.5,180.0,180.0,,,,,,
