from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,3.0,very soft CLAY,cohesive,16.4,16.4,1,9,,,,,,
3.0,7.9,very soft to soft CLAY,cohesive,16.4,16.4,9,14,,,,,,
7.9,10.8,soft CLAY,cohesive,18.2,18.2,14,14,,,,,,
10.8,14.0,soft CLAY,cohesive,18.4,18.4,19,22,,,,,,
14.0,20.9,soft to firm CLAY,cohesive,18.4,18.5,22,37,,,,,,
20.9,27.4,firm CLAY,cohesive,18.5,18.6,37,45,,,,,,
27.4,50.0,firm to stiff CLAY,cohesive,18.6,19.0,45,95,,,,,,
50.0,51.6,silty SAND,frictional,19.0,19.1,,,7.92,7.92,25.0,1.0,81.0,5.0
51.6,81.0,medium dense to dense SAND,frictional,19.1,19.4,,,23.56,23.56,28.8,1.0,81.0,5.0
81.0,102.6,medium dense to dense SAND,frictional,19.4,19.6,,,24.04,24.04,28.8,1.0,96.0,10.0
102.6,108.8,silty SAND,frictional,19.6,19.7,,,8.52,8.52,28.8,1.0,81.0,5.0
108.8,110.75,very stiff CLAY,cohesive,19.7,19.8,120,150,,,,,,
110.75,112.0,silty SAND,frictional,19.7,19.8,,,17.33,17.33,28.8,1.0,81.0,5.0
112.0,113.7,stratified SAND/SILT and CLAY,frictional,19.8,19.8,,,11.25,11.25,28.8,1.0,81.0,5.0
113.7,115.9,very stiff CLAY,cohesive,19.8,19.9,150,190,,,,,,
115.9,116.9,stratified SAND/SILT and CLAY,frictional,19.8,19.9,,,6.51,6.51,28.8,1.0,81.0,5.0
116.9,118.8,very stiff CLAY,cohesive,19.9,19.9,190,220,,,,,,
118.8,123.5,SILT,frictional,19.7,19.8,,,10.68,10.68,25.0,1.0,67.0,3.0
123.5,125.5,hard CLAY,cohesive,19.9,20.0,220,250,,,,,,
125.5,136.0,hard CLAY,cohesive,20.0,20.1,250,330,,,,,,
136.0,137.5,cemented SANDSTONE / gravelly sand,frictional,20.1,20.1,,,4.68,4.68,28.8,1.0,81.0,5.0
137.5,150.0,hard CLAY,cohesive,20.1,20.2,330,420,,,,,,
150.0,151.992,SILT,frictional,20.0,20.0,,,24.15,24.15,25.0,1.0,67.0,3.0
