from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,0.3,clay,cohesive,16.0,16.0,2,3,,,,,,
0.3,1.7,silt,cohesive,17.8,17.8,4,6,,,,,,
1.7,4.7,clay,cohesive,17.8,17.8,6,11,,,,,,
4.7,7.0,clay,cohesive,17.0,17.0,15,11,,,,,,
7.0,9.0,clay,cohesive,17.0,17.0,11,22,,,,,,
9.0,13.0,clay,cohesive,17.0,17.0,24,24,,,,,,
13.0,15.3,clay,cohesive,17.4,17.4,30,30,,,,,,
15.3,19.7,clay,cohesive,17.4,17.4,35,35,,,,,,
19.7,24.9,sand,frictional,18.3,18.3,,,3.4,3.4,28.8,1.0,,
24.9,25.9,silt/clay,frictional,18.4,18.4,,,2.5,2.5,28.8,1.0,,1.1
25.9,33.9,sand,frictional,18.7,18.7,,,5.0,6.5,28.8,1.0,,
33.9,37.6,silt/clay,frictional,18.9,18.9,,,4.5,4.5,28.8,1.0,,0.9
37.6,43.5,silt,frictional,18.5,18.5,,,5.0,5.0,28.8,1.0,,
43.5,49.1,sand,frictional,19.0,19.0,,,9.0,9.0,28.8,1.0,,
49.1,51.2,clay,cohesive,18.2,18.2,125,125,,,,,,
51.2,61.7,sand,frictional,19.2,19.2,,,12.0,12.0,28.8,1.0,,
61.7,69.0,sand,frictional,18.4,18.4,,,12.0,12.0,28.8,1.0,,
69.0,71.1,silt,frictional,19.7,19.7,,,7.5,7.5,28.8,1.0,,
71.1,77.7,sand/silt,frictional,19.0,19.0,,,8.0,8.0,28.8,1.0,,
77.7,81.5,sand/clay,frictional,20.0,20.0,,,8.0,8.0,28.8,1.0,,1.5
81.5,84.0,clay,cohesive,19.0,19.0,180,180,,,,,,
84.0,86.3,sand/clay,frictional,19.2,19.2,,,6.0,6.0,28.8,1.0,,2.1
86.3,91.0,clay,cohesive,19.9,19.9,235,235,,,,,,
91.0,94.1,silt/clay,frictional,19.9,19.9,,,6.0,8.5,28.8,1.0,,2.5
94.1,97.6,sand/silt,frictional,18.9,18.9,,,12.0,12.0,28.8,1.0,,
97.6,99.2,clay,cohesive,18.9,18.9,245,245,,,,,,
99.2,103.7,sand/silt,frictional,19.9,19.9,,,8.0,14.0,28.8,1.0,,
103.7,104.8,silt,frictional,19.9,19.9,,,22.0,22.0,28.8,1.0,,
104.8,116.3,clay,cohesive,18.5,19.8,210,210,,,,,,
116.3,118.8,clay,cohesive,20.4,20.4,280,280,,,,,,
118.8,122.4,silt,frictional,19.1,19.1,,,12.0,12.0,28.8,1.0,,
122.4,126.6,sand,frictional,19.6,19.6,,,21.5,21.5,28.8,1.0,,
126.6,131.8,sand,frictional,19.6,19.6,,,26.5,26.5,28.8,1.0,,
131.8,144.1,clay,cohesive,19.8,19.8,275,275,,,,,,
144.1,145.2,sand,frictional,19.8,19.8,,,20.0,20.0,28.8,1.0,,
145.2,150.0,sand/clay,frictional,19.5,19.5,,,10.0,10.0,28.8,1.0,,2.7
150.0,156.8,clay,cohesive,19.5,19.5,300,300,,,,,,
