from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,2.6,Sand,frictional,17.5,17.5,,,1.0,1.2,29,,,
2.6,4.2,Clay,cohesive,17.5,17.5,38.0,38.0,,,,,,
4.2,7.0,Sand,frictional,17.5,17.5,,,2.3,2.9,29,,,
7.0,9.0,Sand,frictional,17.5,17.5,,,3.2,3.9,32,,,
9.0,30.0,Sand,frictional,17.5,17.5,,,10.5,12.9,34,,,
30.0,44.8,Sand,frictional,19.0,19.0,,,19.2,23.4,36,,,
44.8,50.0,Clay,cohesive,19.0,19.0,120.0,120.0,,,,,,
50.0,55.5,Clay,cohesive,19.0,19.0,160.0,160.0,,,,,,
55.5,63.0,Sand,frictional,18.5,18.5,,,10.4,12.8,29,,,
63.0,70.5,Sand,frictional,18.5,18.5,,,17.5,21.3,33,,,
70.5,89.3,Sand,frictional,18.5,18.5,,,25.2,30.8,34,,,
89.3,94.0,Sand,frictional,18.0,18.0,,,15.2,18.6,32,,,
94.0,101.0,Sand,frictional,19.0,19.0,,,13.8,16.8,29,,,
101.0,105.0,Sand,frictional,19.0,19.0,,,22.1,27.0,30,,,
105.0,111.0,Sand,frictional,18.5,18.5,,,10.4,12.7,25,,,
111.0,116.0,Sand,frictional,17.5,17.5,,,20.7,25.3,32,,,
116.0,126.0,Sand,frictional,17.5,17.5,,,26.5,32.3,34,,,
126.0,127.0,Clay,cohesive,17.5,17.5,250.0,250.0,,,,,,
127.0,130.0,Sand,frictional,17.5,17.5,,,28.1,34.3,34,,,
130.0,132.0,Clay,cohesive,17.5,17.5,250.0,250.0,,,,,,
132.0,138.5,Sand,frictional,17.5,17.5,,,23.2,28.4,34,,,
138.5,145.0,Clay,cohesive,18.5,18.5,160.0,160.0,,,,,,
145.0,150.0,Clay,cohesive,18.5,18.5,250.0,250.0,,,,,,
