from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,2.6,sand,frictional,17.5,17.5,,,0.99,1.21,35,0.7,96.0,10000
2.6,4.2,clay,cohesive,17.5,17.5,38,38,,,,,,
4.2,7.0,sand,frictional,17.5,17.5,,,2.34,2.86,34,0.7,93.0,8800
7.0,9.0,sand,frictional,17.5,17.5,,,3.15,3.85,34,0.7,93.0,8800
9.0,30.0,sand,frictional,17.5,17.5,,,10.53,12.87,37,0.7,103.6,11000
30.0,44.8,sand,frictional,19.0,19.0,,,19.17,23.43,38,0.7,107.4,11600
44.8,50.0,clay,cohesive,19.0,19.0,120,120,,,,,,
50.0,55.5,clay,cohesive,19.0,19.0,160,160,,,,,,
55.5,63.0,sand,frictional,18.5,18.5,,,10.44,12.76,35,0.7,96.0,10000
63.0,70.5,sand,frictional,18.5,18.5,,,17.46,21.34,37,0.7,103.6,11000
70.5,89.3,sand,frictional,18.5,18.5,,,25.2,30.8,36,0.7,99.8,10700
89.3,94.0,sand,frictional,18.0,18.0,,,15.21,18.59,35,0.7,96.0,10000
94.0,101.0,sand,frictional,19.0,19.0,,,13.77,16.83,35,0.7,96.0,10000
101.0,105.0,sand,frictional,19.0,19.0,,,22.05,26.95,35,0.7,96.0,10000
105.0,111.0,sand,frictional,18.5,18.5,,,10.35,12.65,32,0.7,87.0,6700
111.0,116.0,sand,frictional,17.5,17.5,,,20.7,25.3,34,0.7,93.0,8800
116.0,126.0,sand,frictional,17.5,17.5,,,26.46,32.34,36,0.7,99.8,10700
126.0,127.0,clay,cohesive,17.5,17.5,250,250,,,,,,
127.0,130.0,sand,frictional,17.5,17.5,,,28.08,34.32,36,0.7,99.8,10700
130.0,132.0,clay,cohesive,17.5,17.5,250,250,,,,,,
132.0,138.5,sand,frictional,17.5,17.5,,,23.22,28.38,36,0.7,99.8,10700
138.5,145.0,clay,cohesive,18.5,18.5,160,160,,,,,,
145.0,150.0,clay,cohesive,18.5,18.5,250,250,,,,,,
