from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0,5,soft clay,cohesive,15.5,15.8,5,10,,,,,,
5,12,soft clay,cohesive,15.8,16.2,10,18,,,,,,
12,20,clay,cohesive,16.2,16.8,18,35,,,,,,
20,30,clay,cohesive,16.8,17.3,35,55,,,,,,
30,40,silty clay,cohesive,17.3,17.8,55,75,,,,,,
40,50,sand,frictional,18.0,18.3,,,5,7,28.8,1.0,,
50,60,sand,frictional,18.3,18.6,,,8,10,28.8,1.0,,
60,70,sand,frictional,18.6,18.9,,,10,12,28.8,1.0,,
70,80,sand,frictional,18.9,19.2,,,12,15,28.8,1.0,,
80,90,sand,frictional,19.2,19.5,,,15,18,28.8,1.0,,
90,100,clay,cohesive,18.5,18.8,80,120,,,,,,
100,110,clay,cohesive,18.8,19.0,120,150,,,,,,
110,120,sand,frictional,19.0,19.3,,,18,22,28.8,1.0,,
120,130,sand,frictional,19.3,19.6,,,22,28,28.8,1.0,,
130,140,sand,frictional,19.6,19.9,,,28,35,30.0,1.0,,
140,150,silt,frictional,19.2,19.5,,,10,12,28.8,1.0,,
150,160,silt/clay,frictional,19.2,19.5,,,8,8,28.8,1.0,,2.0
160,170,clay,cohesive,19.0,19.3,180,220,,,,,,
170,180,clay,cohesive,19.3,19.5,220,260,,,,,,
180,190,sand,frictional,19.5,19.8,,,25,30,30.0,1.0,,
190,200,sand,frictional,19.8,20.0,,,30,35,30.0,1.0,,
200,210,sand,frictional,20.0,20.2,,,35,40,30.0,1.0,,
210,220,sand,frictional,20.2,20.4,,,40,45,32.0,1.0,,
220,230,hard clay,cohesive,19.5,19.8,260,300,,,,,,
230,240,hard clay,cohesive,19.8,20.0,300,340,,,,,,
240,250,sand,frictional,20.0,20.2,,,45,50,32.0,1.0,,
250,260,sand,frictional,20.2,20.4,,,50,55,32.0,1.0,,
260,270,dense sand,frictional,20.4,20.6,,,55,60,32.0,1.0,,
270,280,dense sand,frictional,20.6,20.8,,,60,65,32.0,1.0,,
280,290,clay,cohesive,19.8,20.0,350,400,,,,,,
290,300,clay,cohesive,20.0,20.2,400,450,,,,,,
300,310,sand,frictional,20.5,20.7,,,65,70,32.0,1.0,,
310,320,sand,frictional,20.7,20.9,,,70,75,32.0,1.0,,
320,330,sand,frictional,20.9,21.1,,,75,80,32.0,1.0,,
330,340,sand,frictional,21.1,21.3,,,80,85,32.0,1.0,,
340,350,hard clay,cohesive,20.2,20.4,450,500,,,,,,
350,360,hard clay,cohesive,20.4,20.6,500,550,,,,,,
360,370,dense sand,frictional,21.0,21.2,,,85,90,32.0,1.0,,
370,380,dense sand,frictional,21.2,21.4,,,90,95,32.0,1.0,,
380,390,dense sand,frictional,21.4,21.6,,,95,100,32.0,1.0,,
390,400,very dense sand,frictional,21.6,21.8,,,100,110,32.0,1.0,,
420,440,hard clay,cohesive,20.5,20.8,600,700,,,,,,
440,460,very dense sand,frictional,22.0,22.2,,,110,120,32.0,1.0,,
460,480,hard clay,cohesive,20.8,21.0,700,800,,,,,,
480,500,very dense sand,frictional,22.2,22.5,,,120,130,32.0,1.0,,
