from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0,3,soft clay,cohesive,15.5,16.0,5,12,,,,,,
3,8,clay,cohesive,16.0,16.5,12,25,,,,,,
8,15,clay,cohesive,16.5,17.2,25,45,,,,,,
15,25,silty clay,cohesive,17.2,18.0,45,80,,,,,,
25,35,loose sand,frictional,18.0,18.5,,,6,8,28.8,0.8,,
35,50,medium sand,frictional,18.5,19.0,,,12,18,30,0.9,,
50,70,dense sand,frictional,19.0,20.0,,,25,35,32,1.0,,
70,90,stiff clay,cohesive,18.5,19.0,80,150,,,,,,
90,120,dense sand,frictional,19.5,20.2,,,30,45,32,1.0,,
120,160,very stiff clay,cohesive,19.0,19.5,150,300,,,,,,
