from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0.0,4.0,Clay,cohesive,13.8,14.9,1.0,6.0,,,,,,
4.0,7.0,Clay,cohesive,14.9,14.9,6.0,10.0,,,,,,
7.0,11.8,Clay,cohesive,14.9,14.9,10.0,20.0,,,,,,
11.8,13.0,Clay,cohesive,17.6,17.6,35.0,35.0,,,,,,
13.0,14.1,Clay,cohesive,16.5,16.5,35.0,45.0,,,,,,
14.1,16.9,Clay,cohesive,18.2,18.2,45.0,100.0,,,,,,
16.9,19.3,Clay,cohesive,18.8,18.8,80.0,80.0,,,,,,
19.3,21.9,Clay,cohesive,19.7,19.7,130.0,160.0,,,,,,
21.9,23.9,Clay,cohesive,19.3,19.3,130.0,150.0,,,,,,
23.9,26.9,Clay,cohesive,19.6,18.7,225.0,225.0,,,,,,
26.9,28.9,Clay,cohesive,18.5,19.0,180.0,180.0,,,,,,
28.9,30.6,Clay,cohesive,19.0,18.8,170.0,205.0,,,,,,
30.6,34.5,Clay,cohesive,18.8,18.3,205.0,180.0,,,,,,
34.5,40.0,Clay,cohesive,18.3,17.4,150.0,115.0,,,,,,
40.0,43.5,Clay,cohesive,18.1,18.6,115.0,115.0,,,,,,
43.5,48.4,Clay,cohesive,20.4,20.4,130.0,130.0,,,,,,
48.4,50.8,Clay,cohesive,20.2,20.2,130.0,130.0,,,,,,
50.8,53.0,Clay,cohesive,19.2,19.2,120.0,120.0,,,,,,
53.0,55.9,Clay,cohesive,18.1,20.6,100.0,100.0,,,,,,
55.9,58.2,Clay,cohesive,20.6,20.6,120.0,120.0,,,,,,
58.2,59.3,Clay,cohesive,19.8,19.8,160.0,160.0,,,,,,
59.3,61.0,Silt,frictional,21.3,21.3,,,,,25,,81,5.0
61.0,62.0,Silt,frictional,18.7,18.7,,,,,20,,67,0.5
62.0,73.0,Clay,cohesive,18.0,18.2,100.0,130.0,,,,,,
73.0,85.9,Clay,cohesive,18.2,18.4,130.0,140.0,,,,,,
85.9,89.6,Clay,cohesive,19.3,19.3,140.0,160.0,,,,,,
89.6,92.0,Clay,cohesive,21.3,21.3,160.0,160.0,,,,,,
92.0,106.0,Clay,cohesive,19.0,18.3,160.0,170.0,,,,,,
106.0,107.9,Clay,cohesive,20.9,20.9,240.0,240.0,,,,,,
107.9,110.9,Clay,cohesive,19.0,19.0,220.0,220.0,,,,,,
110.9,114.2,Clay (assumed),cohesive,19.0,19.0,220.0,220.0,,,,,,
