Rec,Depth_m,Time_s,Cone_MPa,Friction_MPa,Pore2_MPa
1,0.0,275.5,0.0167,,
2,0.02,276.39,0.0201,-0.0039,
3,0.04,277.27,0.0228,0.007,
4,0.06,278.15,0.026,0.0005,0.0091
5,0.08,279.03,0.0261,-0.0001,0.009
6,0.1,279.92,0.0248,0.0003,0.0013
7,0.12,280.63,0.0278,0.0006,0.0015
8,0.14,281.28,0.0311,0.0007,0.0082
9,0.16,282.14,0.0331,0.0007,0.0046
10,0.18,283.02,0.0275,0.0008,0.0013
11,0.2,283.9,0.0293,0.0008,0.0003
12,0.22,284.78,0.0318,0.0013,0.0033
13,0.24,285.66,0.0303,0.0012,-0.0027
14,0.26,286.54,0.0281,0.0012,0.0027
15,0.28,287.42,0.0266,0.0011,0.0028
16,0.3,288.3,0.0366,0.0011,0.006
17,0.32,289.17,0.0386,0.0019,0.0135
18,0.34,290.05,0.0362,0.0021,0.0138
19,0.36,290.92,0.035,0.0023,0.0102
20,0.38,291.79,0.045,0.0035,0.0082
21,0.4,292.66,0.0555,0.0039,0.0128
22,0.42,293.53,0.0811,0.0045,-0.0024
23,0.44,294.4,0.0931,0.0049,-0.0147
24,0.46,295.27,0.0689,0.0049,-0.0307
25,0.48,296.14,0.075,0.0049,-0.0196
26,0.5,297.01,0.0721,0.0047,-0.0373
27,0.52,297.87,0.0514,0.0043,-0.0425
28,0.54,298.74,0.0345,0.0039,-0.0332
29,0.56,299.61,0.0294,0.0035,-0.0076
30,0.58,300.48,0.0324,0.0035,0.0095
31,0.6,301.33,0.0387,0.0041,0.0135
32,0.62,302.2,0.05,0.0044,0.0099
33,0.64,303.08,0.0608,0.0046,0.0119
34,0.66,303.96,0.0633,0.0048,-0.012
35,0.68,304.84,0.0612,0.0055,-0.0296
36,0.7,305.71,0.0597,0.0064,-0.0119
37,0.72,306.6,0.082,0.0067,0.0019
38,0.74,307.5,0.0983,0.0069,-0.0045
39,0.76,308.41,0.1009,0.0064,-0.0321
40,0.78,309.33,0.1002,0.0076,-0.024
41,0.8,310.26,0.0946,0.0079,-0.0366
42,0.82,311.17,0.092,0.0078,-0.0273
43,0.84,312.12,0.0868,0.0075,-0.0223
44,0.86,313.06,0.065,0.0073,-0.027
45,0.88,314.0,0.0749,0.007,-0.0278
46,0.9,314.94,0.0697,0.006,-0.0167
47,0.92,315.88,0.0614,0.0053,-0.0055
48,0.94,316.83,0.0548,0.005,0.0017
49,0.96,317.77,0.0549,0.0048,-0.0004
50,0.98,318.71,0.0573,0.0043,0.0098
51,1.0,319.67,0.0685,0.0036,0.021
52,1.02,320.61,0.0677,0.0035,0.0301
53,1.04,321.55,0.0651,0.0036,0.0365
54,1.06,322.49,0.0625,0.0039,0.0273
55,1.08,323.44,0.0549,0.0039,0.0226
56,1.1,324.38,0.0496,0.004,0.0211
57,1.12,325.32,0.0369,0.0037,0.0143
58,1.14,326.27,0.0327,0.0033,0.0074
59,1.16,327.21,0.0344,0.0033,0.0076
60,1.18,328.15,0.0408,0.0028,0.0129
61,1.2,329.09,0.0422,0.002,0.0217
62,1.22,330.04,0.0451,0.0029,0.0235
63,1.24,330.97,0.0493,0.0039,0.0142
64,1.26,331.91,0.05,0.0046,0.0135
65,1.28,332.85,0.0504,0.0051,-0.0039
66,1.3,333.79,0.0581,0.005,-0.0565
67,1.32,334.73,0.0668,0.0056,-0.0464
68,1.34,335.66,0.0865,0.0062,-0.0272
69,1.36,336.59,0.0918,0.0065,-0.0122
70,1.38,337.53,0.085,0.0071,-0.0133
71,1.4,338.48,0.0801,0.0067,-0.0085
72,1.42,339.43,0.091,0.0061,-0.0015
73,1.44,340.36,0.1016,0.0057,0.0082
74,1.46,341.31,0.1244,0.0051,0.0171
75,1.48,342.26,0.1194,0.0057,0.0285
76,1.5,343.21,0.1155,0.006,0.0299
77,1.52,344.16,0.1156,0.0061,0.0272
78,1.54,345.1,0.1123,0.0065,0.0341
79,1.56,346.05,0.1003,0.0068,0.0414
80,1.58,346.99,0.1085,0.007,0.0415
81,1.6,347.94,0.1143,0.0071,0.0388
82,1.62,348.89,0.1186,0.0074,0.0412
83,1.64,349.83,0.1344,0.0078,0.0452
84,1.66,350.78,0.1299,0.0076,0.0192
85,1.68,351.72,0.1286,0.0066,0.0138
86,1.7,352.67,0.1446,0.0072,0.0223
87,1.72,353.61,0.141,0.0074,0.0271
88,1.74,354.56,0.128,0.0074,0.0261
89,1.76,355.5,0.1217,0.0073,0.0369
90,1.78,356.46,0.1109,0.0069,0.0439
91,1.8,357.41,0.1104,0.0067,0.043
92,1.82,358.36,0.0957,0.0076,0.0271
93,1.84,359.31,0.1068,0.0092,0.0244
94,1.86,360.26,0.1423,0.0092,0.0335
95,1.88,361.21,0.1739,0.0088,0.0252
96,1.9,362.16,0.1916,0.0086,0.0253
