from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0,3,clay,cohesive,16.4,16.4,1,9,,,,,,
3,7.9,clay,cohesive,16.4,16.4,9,14,,,,,,
7.9,10.8,clay,cohesive,18.2,18.2,16,16,,,,,,
10.8,14,clay,cohesive,18.4,18.4,22,25,,,,,,
14,20.9,clay,cohesive,17.0,17.0,25,40,,,,,,
20.9,27.4,clay,cohesive,17.7,17.7,42,50,,,,,,
27.4,32.5,clay,cohesive,17.4,17.4,55,65,,,,,,
32.5,36.8,clay,cohesive,17.4,17.4,65,65,,,,,,
36.8,47,clay,cohesive,18.0,18.0,65,80,,,,,,
47,50,clay,cohesive,18.0,18.0,85,85,,,,,,
50,51.6,sand,frictional,18.3,18.3,,,8,9,28.8,1.0,,
51.6,57.7,sand,frictional,19.2,19.2,,,27,18,26.1,1.0,,
57.7,61,sand,frictional,19.2,19.2,,,26,26,26.1,1.0,,
61,64,sand,frictional,18.7,18.7,,,10.5,10.5,28.8,1.0,,
64,66.7,sand,frictional,18.7,18.7,,,17,17,28.8,1.0,,
66.7,68.5,sand,frictional,20.0,20.0,,,26,40,26.1,1.0,,
68.5,71,sand,frictional,20.0,20.0,,,40,33,26.1,1.0,,
71,74,sand,frictional,20.0,20.0,,,24,24,26.1,1.0,,
74,77.3,sand,frictional,20.0,20.0,,,31.5,31.5,26.1,1.0,,
77.3,83,sand,frictional,19.2,19.2,,,23,25,26.1,1.0,,
83,95.2,sand,frictional,20.1,20.1,,,30,30,26.1,1.0,,
95.2,102.6,sand,frictional,18.7,18.7,,,16,16,28.8,1.0,,
102.6,106.8,clay,cohesive,18.9,18.9,180,205,,,,,,
106.8,108.8,sand,frictional,20.0,20.0,,,20,20,28.8,1.0,,
108.8,110.8,clay,cohesive,20.0,20.0,160,160,,,,,,
110.8,112,sand,frictional,18.1,18.1,,,18,18,28.8,1.0,,
112,113.7,sand/clay,frictional,18.1,18.1,,,12,12,28.8,1.0,,2.2
113.7,114.8,clay,cohesive,19.1,19.1,230,230,,,,,,
114.8,115.9,sand,frictional,20.0,20.0,,,33,33,28.8,1.0,,
115.9,116.9,sand/clay,frictional,19.3,19.3,,,8,8,28.8,1.0,,2.1
116.9,118.8,sand,frictional,19.1,19.1,,,17,17,28.8,1.0,,
118.8,123.5,silt,frictional,19.1,19.1,,,11,11,28.8,1.0,,
123.5,125.5,sand,frictional,19.1,19.1,,,14.5,14.5,28.8,1.0,,
125.5,129.6,silt/clay,frictional,19.8,19.8,,,8,8,28.8,1.0,,2.0
129.6,140,clay,cohesive,19.5,19.5,250,250,,,,,,
140,141.7,sand,frictional,19.5,19.5,,,4.7,4.7,28.8,1.0,,
141.7,150,clay,cohesive,18.5,18.5,275,350,,,,,,
150,152,silt,frictional,20.0,20.0,,,24,24,28.8,1.0,,
152,157.5,clay,cohesive,18.5,18.5,350,350,,,,,,
