from_depth,to_depth,soil_type,behavior,gamma_top,gamma_bot,cu_top,cu_bot,qc_f,qc_eb,delta_cv,k0,flim,qlim
0,4,soft clay,cohesive,15.5,16.0,8,15,,,,,,
4,10,clay,cohesive,16.0,16.8,15,35,,,,,,
10,20,clay,cohesive,16.8,17.5,35,60,,,,,,
20,35,sand,frictional,18.0,18.8,,,10,14,28.8,1.0,,
35,50,sand,frictional,18.8,19.3,,,18,24,30,1.0,,
50,70,dense sand,frictional,19.3,20.0,,,30,40,32,1.0,,
70,85,clay,cohesive,18.8,19.2,80,140,,,,,,
85,100,sand/clay,frictional,19.0,19.5,,,14,18,28.8,1.0,,2.2
100,120,very stiff clay,cohesive,19.2,19.8,140,220,,,,,,
120,145,silt,frictional,19.5,20.0,,,12,16,28.8,1.0,,
145,170,dense sand,frictional,20.0,20.5,,,35,55,32,1.0,,
170,200,hard clay,cohesive,19.8,20.2,250,450,,,,,,
